FIPS,P00_TF_T,P00_TM_T,NMR_TF0,NMR_TF5,NMR_TF10,NMR_TF15,NMR_TF20,NMR_TF25,NMR_TF30,NMR_TF35,NMR_TF40,NMR_TF45,NMR_TF50,NMR_TF55,NMR_TF60,NMR_TF65,NMR_TF70,NMR_TF75,NMR_TF80,NMR_TF85,NMR_TM0,NMR_TM5,NMR_TM10,NMR_TM15,NMR_TM20,NMR_TM25,NMR_TM30,NMR_TM35,NMR_TM40,NMR_TM45,NMR_TM50,NMR_TM55,NMR_TM60,NMR_TM65,NMR_TM70,NMR_TM75,NMR_TM80,NMR_TM85
33013,68628,67269,0.14,0.2,0.11,0.06,-0.1,0,0.23,0.15,0.07,0.04,0.04,0.03,0.07,0.04,0.08,0.12,0.2,0.29,0.15,0.18,0.11,0.05,-0.06,-0.03,0.17,0.18,0.09,0.05,0.04,0.04,0.04,0.01,0.01,0.12,0.11,0.14
33015,138960,136775,0.11,0.17,0.06,-0.09,-0.29,0.06,0.33,0.16,0.06,0.02,-0.02,-0.01,-0.02,0,0.06,0.06,0.07,0.13,0.11,0.19,0.05,-0.06,-0.3,-0.02,0.25,0.15,0.06,0,-0.02,-0.03,-0.03,-0.03,0,0.03,0.01,0.07
33017,57350,54706,0.09,0.09,-0.02,0.39,0.88,-0.23,-0.31,-0.04,-0.01,0.01,0,-0.03,-0.04,0.02,-0.05,0.02,0.01,-0.04,0.08,0.07,-0.01,0.18,0.62,-0.11,-0.26,-0.05,0,0,0.01,-0.01,-0.07,-0.02,-0.03,-0.04,0,-0.05
33019,20406,20012,0.05,0.17,0.02,-0.13,-0.31,-0.08,0.08,0.13,0.07,0,0.04,0.12,0.19,0.12,0.07,-0.05,-0.02,0.07,0.1,0.2,0.03,-0.09,-0.37,-0.15,0.2,0.12,0.06,0.06,0.04,0.05,0.13,0.21,0.04,0.2,-0.15,0.02
34001,129973,123652,-0.01,-0.01,0.06,0.1,0.1,0.11,0.09,0.05,0.07,0.07,0.08,0.1,0.1,0.07,0.02,0.01,-0.05,-0.11,-0.02,-0.02,0.07,0.1,0.09,0.06,0.06,0.04,0.07,0.09,0.07,0.11,0.11,0.12,0.03,0.01,-0.1,-0.11
34003,454924,427102,0.08,0.11,0.12,0.03,-0.06,0.16,0.25,0.17,0.11,0.07,0,-0.06,-0.08,-0.13,-0.12,-0.06,-0.03,0,0.06,0.11,0.1,0.08,-0.06,0.09,0.19,0.13,0.12,0.05,0.01,-0.06,-0.1,-0.16,-0.19,-0.12,-0.1,-0.02
34005,212657,211634,0.09,0.11,0.03,-0.1,-0.23,-0.04,0.15,0.1,0.05,0.01,-0.02,-0.05,-0.04,-0.03,0.01,0.09,0.09,0.46,0.09,0.09,0.05,-0.05,-0.03,-0.03,0,0.07,0.06,0,-0.02,-0.04,-0.06,-0.1,-0.05,0.03,0.04,0.28
34007,261589,248014,-0.01,-0.05,-0.05,-0.1,-0.15,0.03,0.07,-0.04,-0.06,-0.04,-0.06,-0.09,-0.1,-0.09,-0.08,-0.02,0,0.06,0,-0.03,-0.04,-0.1,-0.19,-0.02,0.09,-0.03,-0.04,-0.05,-0.06,-0.07,-0.11,-0.13,-0.12,-0.05,-0.06,0
34009,52688,49361,0.01,0.01,0.02,-0.06,-0.21,-0.04,0.04,0.04,0.13,0.11,0.23,0.39,0.39,0.33,0.1,0.03,0,0.01,-0.01,-0.02,0.08,0.02,-0.15,-0.18,-0.04,0.01,0.08,0.13,0.16,0.34,0.49,0.45,0.25,0.06,-0.04,-0.04
34011,71422,76117,-0.02,-0.02,0,-0.05,-0.16,-0.07,0,-0.04,-0.02,-0.02,-0.01,-0.05,-0.05,-0.06,-0.08,0,-0.04,-0.03,-0.01,0,0.01,-0.02,-0.03,0.23,0.37,0.17,0.02,-0.01,0.02,-0.03,-0.02,-0.04,-0.06,0.01,-0.03,0.02
